Bno,Bname,Author,price,publ,qty,d_o_purchase
592,SELECTION FROM THE NAGPUR RESIDENCY RECORDS VOL. IV (1818-1840),H.N. SINHA,592,"GOVERNMENT PRINTING, MADHYA PRADESH, NAGPUR",2,1954
593,THE GOVERNMENT OF INDIA ACT,…,372,"GOVERNMENT OF INDIA, CENTRAL PUBLICATION BRANCH, CALCUTTA",2,1924
594,DEMANDS FOR GRANTS,…,303,"MANAGER, GOVERNMENT OF INDIA, SIMLA",3,1957
595,THE PUNJAB CODE,…,589,"SUPERINTENDENT, GOVERNMENT PRINTING, LAHORE",1,1951
596,GENERAL STATIONARY RULES & ORDERS (1943-45),…,546,"THE MANAGER OF PUBLICATION, DELHI",1,1948
597,NOTE ON THE AGRICULTURE CONDITION,W.N. MORELAND,,"SUPERINTENDENT, UNITED PRESS, ALLAHABAD",3,1913
598,NOTE ON THE ADMINISTRATION OF DELHI PROVINCE,…,,"GOVERNMENT OF INDIA, CENTRAL PUBLICATION BRANCH, CALCUTTA",5,1926
599,ZAMINDARI ABOLITION OF LAND REFORM ACT,WASIULLAH SIDDIQI,,"CENTRAL LAW AGENCY, LAW PUBLISHERS, ALLAHABAD",2,1954
600,INDIAN ARMY ORDERS,…,,…,5,1930
601,DIGEST OF INDIAN LAW CASES,B. D BOSE,,"SUPERINTENDENT GOVERNMENT PRINTING, CALCUTTA",4,1913
602,MANUAL OF MILITARY LAW 1929,…,1068,"HIS MAJESTY'S STATIONARY OFFICE, LONDON",5,1929
603,"THE UNREPEATED CENTRAL ACTS, ORDINANCES",…,210,"MANAGER, GOVERNMENT OF INDIA PRESS, SIMLA",1,1944
604,THE BURMA CODE,…,741,"SUPERINTENDENT GOVERNMENT PRINTING, CALCUTTA",5,1911
605,GENERAL RULES & ORDERS MADE UNDER ENACTMENT IN BRITISH INDIA,…,692,"GOVERNMENT OF INDIA, CENTRAL PUBLICATION BRANCH, CALCUTTA",1,1928
606,THE MUTATION WORK IN THE PUNJAB,LT COL. C.H. BUCK,216,"THE UNIVERSITY BOOK AGENCY, LAW PUBLISHERS, LAHORE",3,1937
607,THE LEGAL PROCEEDING IN THE CASE OF TILAKV- CHIRO LAND ANOTHER,…,526,"HUMPHREY MILFORD, OXFORD UNIVERSITY PRESS.,GOVERNMENT OF BOMBAY,",4,1920
608,THE PENAL OF BRITISH INDIA,SH HARI SINGH GOUR,1876,THE CENTRAL BOOK DEPOT,3,1936
609,THE INDIAN COMPANIES ACTVII,P.L. BUCKLAND,491,"THACKER, SPINK & CO. CALCUTTA",4,1922
610,THE PROCEDURE OF MEETING,INDIAN HISTORICAL RECORDS COMMISSION,247,"THE MANAGER, GOVERNMENT OF INDIA PRESS, NEW DELHI",4,1948
611,INDEX TO ARMY INSTRUCTIONS(INDIA),…,435,…,5,1927
612,INDIAN HORIZONS,H.D. SETHNA,,"I.D. KOTWAL, PADMA PUBLICATION LIMITED, BOMBAY",5,
613,COLLECTIONS OF ACTS OF THE INDIAN LEGISTLATURE,…,,"MANAGER OF PUBLICATIONS, DELHI",2,1937
614,CASES ARGUED 7 DECIDED IN S. COURTOF THE US,E.H. SCHOPLER(ED.),,"THE LAWYERS CO-OPERATIVE PUBLISHING COMPANY, NEW YORK",3,1950
615,THE GOVERNMENT OF INDIA ADAPTATION OF INDIAN LAWS,…,270,"THE MANAGER OF PUBLICATIONS, DELHI",1,1937
616,ARMY REGULATIONS INDIA,…,190,"SUPERINTENDENT GOVERNMENT PRINTING, CALCUTTA",1,1917
617,SUPPLEMENTS TO GENERAL STATUTORY RULES & ORDERS,…,536,"THE MANAGER OFPUBLICATIONS, DELHI",5,1937
618,THE DELHI CODE,…,121,"GOVERNMENT OF INDIA, CENTRAL PUBLICATION BRANCH, DELHI",1,1939
619,THE ROYAL FAMILY IN WARTIME,…,128,"ODHAMS PRESS LIMITED, LONDON",1,1945
620,PUNJAB RELIEF OF INDEBTNESS,R.B. CHOUDHRY CHOTURAM,,"THE UNIVERSITY BOOK AGENCY, LAW PUBLISHERS, LAHORE",2,1934
621,A DIGEST OF INDIAN LAW CASES,B.D.BOSE,,"THE SUPERINTENDENT, GOVERNMENT PRINTING, CALCUTTA",2,1918
622,THE HISTORY & LAW OF SEDITION,W.R. DONOGH,285,"THACKER, SPINK & CO. LONDON: W. THACKER & CO., LONDON",4,1914
623,CONSERVATION MANUAL,JOHN MARSHALL,,"SUPERINTENDENT GOVERNMENT PRINTING, CALCUTTA",5,1923
624,FUNDAMENTAL RIGHTS & CONSTITUTION,OM PRAKASH AGGARWAL,266,METROPOLITAN BOOK CO. PRIVATE LTD. DELHI,3,1958
625,DELHI MUNCIPALITY RULES BYE LAWS AND DIRECTIONS CORRECTED UPTO 31 MARCH 1941,…,,…,4,1941
626,THE INDIAN ARMS ACT MANDAL ASSAM,…,,"SUPERINTENDENT ASSAM PRINTING PRESS, SHILLONG",4,1916
627,A DIGEST OF INDIAN LAW CASES,B.D. BOSE,,"SUPERINTENDENT GOVERNMENT PRINTING, CALCUTTA",3,1915
628,THE COURT FEES ACT,W.C. ASRUITH,,LAHORE,5,1893
629,PUNJAB CUSTOMARY LAW,C.L. TUPPER,227,CALCUTTA,4,1881
630,REPORTS OF THE INDIAN ELECTION PETITIONS 1927,E.L.L HAMMOND,275,"THE CIVIL AND MILITARY GAZZETTE PRESS, LAHORE",3,1929
631,A COLLECTION OF TEH ACT,…,,"THE MANAGER OF PUBLICATIONS, DELHI",2,1941
632,PUNJAB RECORD,…,,"SAMUEL T. WESTON, LAHORE",3,1910
633,"A COLLECTION OF TREATIES, ENGAGEMENT",…,,"SUPERINTENDENT GOVERNMENT PRINTING, CALCUTTA",2,1909
634,A COLLECTION OF ACTS OF INDIAN LEGISLATURE,…,,"MANAGER OF PUBLICATIONS, DELHI",1,1934
635,THE INDIAN TAXATION ENQUIRY COMMITTEE,…,550,"GOVERNMENT OF INDIA, CENTRAL PUBLICATION BRANCH, CALCUTTA",4,1926
636,REPORT OF THE PUNJAB CHAMBERS OF COMMERCE,…,463,DELHI,1,1940
637,HANDBOOK OF COMMERCIAL INFORMATION INDIA,C.W.E COTTON,393,"GOVERNMENT OF INDIA, CENTRAL PUBLICATION BRANCH, CALCUTTA",1,1924
638,THE EQUITY DRAFTSMAN FORMS OF PLEADING,EDWARD HUGHES,710,"S. SWEET CHANCERY LANE, AND STEVENS AND SONS, LONDON",3,1828
639,DIGEST OF INDIAN LAW CASES,B.D. BOSE,,"SUPERINTENDENT, GOVERNMENT PRINTING PRESS, CALCUTTA",4,1912
640,DIGEST OF INDIAN LAW CASES,B.D. BOSE,474,"SUPERINTENDENT, GOVERNMENT PRINTING PRESS, CALCUTTA",3,1916
641,PUNJAB TENANCY ACT,O.P. AGGARWALA,561,"THE UNIVERSITY BOOK AGENCY, LAW PUBLISHERS, LAHORE",4,1937
642,"SUPPLEMENT TO SOHONI'S COMMENTARIES ON THE CODE OF CRIMINAL PROCEDURE, ACT V OF 1898 AS AMENDED UPTO 1935",W.T. SUNDARARAJA,215,MADRAS,2,1935
643,THE GENERAL CLAUSES ACT 1897,,133,"GOVERNMENT OF INDIA, CENTRAL PUBLICATION BRANCH, CALCUTTA",5,1930
644,THE LAW AND PRACTICE OF PUNJAB DISTRICT BOARD,R.N. SANG,365,"THE UNIVERSITY BOOK AGENCY AND THE INDIAN LAW COMPANY, LAHORE",5,1934
645,THE TRADE MARKS ACT 1919,D.M. KERLY & E.G. UNDERHAY,74,"SWEET AND MAXWELL LIMITED, LONDON",1,1920
646,HANDBOOK ON CEREMONIAL PROCEDURE,…,58,LAHORE,2,1909
647,CODE OF REGULATIONS FOR EUROPEAN SCHOOLS IN INDIA AND BURMA 1905 FIFTH EDITION,…,131,"PUBLISHED BY THE AUTHORITY, LAHORE",4,1906
648,THE INDIAN STAMP LAW,W.R. DONOGH,477,"THACKER, SPINK & CO. CALCUTTA",4,1910
649,THE DIRECTOR OF KHADI VILLAGE INDUSTRY,C.K. NAYARANMURTHI,,"S.C.SARKAR, BOMBAY",5,1962
650,HISTORY OF SERVICES OF GAZETTED OFFICERS,…,1040,PUBLISHED BY THE AUTHORITY,5,1984
651,A COLLECTION OF ACTS,…,,"THE MANAGER OF PUBICATIONS, DELHI",3,1938
652,THE AJMER CODE,,296,"OFFICE OF THE SUPERINTENDENT OF GOVERNMENT PRINTING, CALCUTTA",5,1917
653,COMMENTARY ON THE DELHI AJMER,SHIVA GOPAL,146,"EASTER BOOK COMPANY, LAW PUBLISHERS & BOOKSELLERS, DELHI",3,1957
654,INDUSTRIAL HOUSING IN INDIA,S.C. AGARWAL,528,…,2,1952
655,MEMORENDUM OF ASSOCIATIONS RULES & REGULATIONS AND BYE LAWS,…,137,…,4,….
656,THE MADRAS HINDU RELIGIOUS AND CHARTED ENDOWMENTS ACTS,"P. RAMANTHA IYER, D.P. NARAYANA",388,"THE MADRAS LAW JOURNAL OFFICE, MADRAS",3,1953
657,INDIAN HISTORICAL RECORD COMMISSION PROCEEDINGS OF MEETINGS VOL. V,,165,"SUPERINTENDENT, GOVERNMENT PRINTING, CALCUTTA",1,1923
658,THE PUNJAB CODE VOL. II,…,,LAHORE,4,1937
659,GENERAL RULER & ORDERS MADE UNDER ENACTMENTS IN FORCE IN BRITISH RULE,…,620,"GOVERNMENT OF INDIA, CENTRAL PUBLICATION BRANCH, CALCUTTA",2,1927
660,"TRAVELS IN INDIA, JEAN BAPTISTE TAVER",V. BALL,420,"MACMILLAN AND CO. LIMITED, LONDON",2,1889
661,HISTORY OF SERVICES OF GAZETTED OFFICERS,…,,LAHORE,5,1945
662,"BUREAU OF EDUCATION, INDIA",…,138,"THE MANAGER OF PUBLICATIONS, DELHI",4,1941
663,SECOND FIVE YEAR PLAN,…,124,"DEVELOPMENT DEPARTMENT, DELHI ADMINISTRATION, DELHI",1,1962
664,REPORT OF PUNJAB CHAMBER OF COMMERCE,…,631,….,3,1938
665,LETTERS WRITTEN DURING THE SEIZE OF DELHI,H.H. GREATHED,293,"LONGMAN BROWN, GREEN LONGMANS & ROBERTS LONDON",4,1858
666,A CALENDER OF THE COURT MUMLES EAST INDIA BANK,ETHEL BRUCE SAINSBURY,444,"OXFORD AT THE CLARENDON PRESS, LONDON",3,1929
667,TABAQAT-I- AKBARI,BAINI PRASHSAD,812,…,1,1939
668,REPORT OF INDIA TARRIFF BOARD,…,174,"MANAGER OF PUBLICATION, DELHI",2,1934
669,THE WORK OF FOREST DEPARTMENT IN INDIA,R.S.TROUP,65,"SUPERINTENDENT, GOVERNMENT PRINTING, CALCUTTA",4,1917
670,INDIAN LAW REPORTS LAHORE,C.H. OERTEL,553,"GOVERNMENT BOOK DEPOT, PUNJAB",5,1924
671,"TRAVELS IN THE PUNJAB, AFGANISTAN & TURMENISTAN",MOHAN LAL,528,W M.H. ALLEN & CO. LONDON,1,1846
672,A CALENDER OF THE COURT MINUTES EAST INDIA COMPANY,ETHEL BRUCE SAINSBURY,444,OFXFORD UNIVERSITY PRESS,2,1935
673,A CALENDER OF THE COURT MINUTES EAST INDIA COMPANY,ETHEL BRUCE SAINSBURY,466,"OFORD, CLARENDON PRESS",3,1925
674,INDIA IN 1931-32,,238,"GOVERNMENT PRINTING PRESS, CENTRAL PUBLICATION BRANCH, CALCUTTA",4,1933
675,"THE PUNJAB, NORTH- WEST FRONTIER PROVINCE",SIR JAMES DOUIE,373,"CAMBRIDGE UNIVERSITY PRESS, LONDON",2,1916
676,THE GOVERNMENT OF INDIA ACT,…,372,"GOVERNMENT PRINTING PRESS CENTRAL PUBLICATION BRANCH, CALCUTTA",2,1924
677,"A COLLECTION OF LETTERS WRITTEN FROM THE CAMP BEFORE DELHI TO GEORGE CARNAC BARNES, COMMISSIONER OF THE CIS-SUTLEJ STATES",….,,…,2,1857
678,OUR NORTHERN BORDERS INDIAN- CHINA,RAMA SATYA PAUL,158,"THE BOOK TIMES COMPANY, NEW DELHI",2,1963
679,A COLLECTION OF STATUTES RELATING TO INDIA,…,608,"MANAGER OF PUBLICATION, DELHI",3,1935
680,"A COLLECTION OF TREATIES, ENGAGEMENT",…,,"SUPERINTENDENT GOVERNMENT PRINTING, CALCUTTA",1,1909
681,INDIA IN 1932-33,…,197,"MANAGER OF PUBLICATIONS, DELHI",3,1934
682,PARTIES & POLITICS AT THE MUGHAL COURT 1707-1740,SATISH CHANDRA,323,"PEOPLE'S PUBLISHING HOUSE, NEW DELHI, AHMEDABAD, BOMBAY",2,1972
683,THE COMMUNITY DEVELOPMENT PROCESS,WILLIAM W. BIDDLE,333,"AMERIND CO. PVT. LTD, NEW DELHI BOMBAY",2,1965
684,KASHMIR KI SMAYASYA AUR BHARAT PAK YUDH,DR KRISHANDEV KHARI,240,"SHARDA PRAKASHAN, NEW DELHI",4,1972
685,PEASANTS & WORKERS MOVEMENT IN INDIA,SUKHBIR CHOUDHARY,328,"D.P. SINHA, PEOPLE'S PUBLISHING HOUSE, NEW DELHI",4,1971
686,AL HAJJAJ IBN YUSUF,SHIV RAI CHOUDHARY,235,"DR. SHIV RAI CHOUDHRY, DELHI",1,1972
687,ISSUES IN AMERICAN ECO HISTORY,GERALD D. NASH,552,STERLING PUBLISHERS (P) LTD.DELHI,2,1972
688,GEOGRAPHY OF GUJRAT,K.R. DIKSHIT,260,"NATIONAL BOOK TRUST, INDIA, NEW DELHI",1,1970
689,AGRARIAN STRUGGLE IN BENGAL 1946-47,SUNIL SEN,111,"PEOPLE'S PUBLISHING HOUSE, NEW DELHI AHMEDABAD, BOMBAY",5,1972
690,CHINA'S CULTURE REVOLUTION,GARGI DUTT & V.P. DUTT,250,"ASIA PUBLISHING HOUSE, BOMBAY",3,1970
691,DELHI SALES TAX LAW,S.P. SAINI,300,SAINI LAW PUBLISHING CO. DELHI,5,1971
692,HISTORICAL SIKA SHRINES IN DELHI,DR. TRLOCHAM SINGH,64,"SARDAR PRITAM SINGH SANDHU, DELHI SIKH GURUDWARA BOARD SIS GANJ, DELHI",3,1972
693,MAHATAMA GANDHI HIS OWN STORY,C.F. ANDREWS,372,"MACMILLAN AND CO. LIMITED,NEW YORK",1,1930
694,PRIVATE LETTERS OF THE MORQUESS OF DALHOUSIE,J.G.A BAIRD,448,WILLIAM BLACKWOOD AND SONS EDINBURGH AND LONDON,4,1911
695,THE LAWRENCES OF THE PUNJAB,FREDRICK P. GIBBON,350,"J.M. DENT & CO. LONDON, E.P. DUTTON & CO. NEW YORK",5,1908
696,THE END OF NANA SAHIB,JULES VERNS,262,"SAMPSON LOW, MARSTON & CO. LTD. LONDON",1,
697,THE INDIA OF AURANGEZEB,JADUNATH SARKAR,182,…,2,1901
698,THE UNRECORDED CHAPTER OF INDIAN MUTINY,…,234,"JOHN MURRAY, ALBEMARLE STREET, LONDON",4,1894
699,PAKISTAN VIGHTAN KYON,MOH. FARUKKHI,108,"BHARATIYA COMMUNIST PARTY PRAKASHAN, NEW DELHI",5,1972
700,POLITICAL REPORT & POLITICAL RESOLUTION,…,161,"COMMUNIST PARTY PUBLICATION, NEW DELHI",4,1971
701,BUDDISM (THE MARXIST APPROACH),RAHUL SANKRITYAYAN,86,"PEOPLE'S PUBLISHING HOUSE, DELHI AHMEDABAD, BOMBAY",4,1970
702,CENTURY ARABIC OF INDIA UNDER SULTAN HOUSE,IQKDAR HSUSSAIN SIDDIQI,86,"SIDDIQI PUBLISHINGHOUSE, ALIGARH",5,
703,PUNJAB IN FERMENT,SH. RAM SHARMA,438,"S. CHAND & CO. (PVT) LTD., NEW DELHI",3,1971
704,POLITICAL REPORT: EIGHTH CONGRESS OF THE COMMUNIST PARTY OF INDIA,,117,COMMUNIST PARTY PUBLICATION,5,1968
705,PAKISTAN FOREIGN POLICY,SNAGAT SINGH,260,"ASIA PUBLISHING HOUSE, BOMBAY",4,1970
706,INDIA : STUDIES IN SOCIAL POLITICAL DEVELOPMENT,A APPADORAI,342,"ASIA PUBLISHING HOUSE, BOMBAY",3,1968
707,THE GREAT UPHEAVEL 1969-72,A.M ZAIDI,606,"MOID ZAIDI, ORIENTALIA (INDIA), NEW DELHI",2,1972
708,INTERNATIONAL RELATION,ADI H. DOCTOR,250,"VIKAS PUBLICATION, NEW DELHI",1,1969
709,LIBRAIANSHIP OF ANCIENT/MEDIEVAL,DR BIMAL KUMAR DATTA,247,"ATMA RAM & SONS, DELHI",2,1970
710,PARLIAMENT & CONSTITUTIONAL AMENDMENT,DR L.M. SINGHVI,191,"NATIONAL PUBLISHING HOUSE, DELHI",4,1970
711,BRITISH DIPLOMACY IN NORTH INDIA,K.N. PARIKAR,200,"ASSOCIATED PUBLISHING HOUSE, NEW DELHI",3,1968
712,BANK NATIONALIZATION & SUPREME COURT JUDGEMENT,DR M.L. SINGH,274,"OM PRAKASH SHARMA, HINDI POCKET BOOKS, DELHI",1,1971
713,RASTRAPATI V.V GIRI,JAI PRAKASH SHARMA,160,"OM PRAKASH SHARMA, HINDI POCKET BOOKS, DELHI",3,1969
714,RAFI AHMED KIDWAI,SURESH,148,HINDI POCKET BOOKS DELHI,1,1969
715,NANA SAHAB PESHWA,SHRINIVAS BALAJI HARDIKAR,288,"NATIONAL PUBLISHING HOUSE, DELHI",1,1969
716,MILITARY YEAR BOOK 1972,SUKHDEO P. BARANWAL,400,"GUIDEPUBLICATIONS, NEW DELHI",5,1972
717,THE INDO SOVIET TREATY,K.P.S. MENON,156,"VIKAS PUBLISHING HOUSE PVT LTD, DELHI",4,1972
718,SOME ASPECT OF BRITISH REVENUE POLICY IN 1773-1833,RAJESHWARI PRASAD,248,S. CHAND & CO. NEW DELHI,5,1970
719,BOMBAY AND MARATHAS UPTO 1774,W.S. DESAI,248,"MUNSHIRAM MANOHARLAL, NEW DELHI",1,1970
720,BEFORE AFTER THE INDO SOVIET TREATY,PREM CHOPRA,175,"S. CHAND & CO. (PVT) LTD., NEW DELHI",5,1971
721,STUDIES IN THE GEOGRAPHY OF ANCIENT MEDIEVAL INDIA,D.C. SIRCAR,397,"MOTILAL BANARSIDASS, DELHI",1,1971
722,LOCAL COMITTEE & NATIONAL POLITICS,YOGESH ATAL,428,"NATIONAL PUBLISHING HOUSE, NEW DELHI",3,1971
723,MAHARISHI DAYANAND KI AATMA KATHA,DR BHAVANI LAL BHARTIYA,51,"PRAKASHAN VIBHAG, VAIDIK YANTRALAYA, AJMER",4,1971
724,BRITISH ENACTMENT IN FORCE IN NATIVE STATE,A.WILLIAM,406,"SUPRINTENDENT GOVERNMENT PRINTING, CLACUTTA",1,1914
725,REVENUE MANUAL,…,114,LAHORE,1,1906
726,GENERAL RULES AND ORDERS UNDER ENACTMENT,…,,…,2,
727,THE COUNCIL OF STATE DEBATES,…,,"GOVERNMENT MONOTYPE PRESS, SIMLA",3,1923
728,THE INDIAN ANNUAL REGISTER 1930 VOL. II,NRIPENDRA NATH MITRA,492,"THE ANNUAL REGISTER OFFICE, CALCUTTA",1,1930
729,TIBETAN CHRONICLE OF PADMA,DR. LOKESH CHANDRA,,"INTERNATIONAL ACADEMY OF INDIAN CULTURE, NEW DELHI",2,1968
730,A NEW TIBET MANGOL PANTHEON VOL. 12,D RAGHUVIR CHANDRA,,"INTERNATIONAL ACADEMY OF INDIAN CULTURE, NEW DELHI",5,
731,THE GOVERNMENT OF POLITICS OF TIBET,RAM RAHUL,160,VIKAS PUBLICATION,2,1969
732,MARATHA RAJYA KI STHAPNA ATHWA CHATRAPATI SHIVAJI,SRI NIWAS BALAJI HARDIKAR,272,"NATIONAL PUBLISHING HOUSE, DELHI",2,1972
733,THE INDO SOVIET TREATY,K.P.S. MENON,156,"VIKAS PUBLISHING HOUSE PVT. LTD, DELHI",3,1972
734,SOVIET FOREIN POLICY EARLY YEARS,M. TRUSH,286,NOVOSTI PRESS AGENCY PUBLISHING HOUSE,5,
735,THE ROLE OF UNITED NATIONSIN THE MAINTANCE OF WORLD PEACE,MOTILAL C. SETALVAD,79,"P.S. JAYASINGHE, ASIA PUBLISHING HOUSE, BOMBAY",5,1967
736,KASHMIR AND THE UNITED NATIONS,RAHMATULLAH KHAN,199,"SHARDA CHAWLA, VIKAS PUBLICATION, DELHI",1,1969
737,THE HIMALAYA BORDER LAND,DR. RAM RAHUL,157,"VIKAS PUBLICATION, DELHI, BOMBAY, BANGALORE",4,1970
738,INDIAN ROUND TABLE CONFERENCE 1931,…,1520,"GOVERNMENT OF INDIA, CENTRAL PUBLICATION BRANCH, CALCUTTA",1,1932
739,COMMITTEE ON TRANSPORT POLICY AND COORDINATION,…,340,"GOVERNMENT OF INDIA PLANNING COMMISSION, NEW DELHI",3,1966
740,REPORT OF HEALTH SURVEY AND DEVELOPMENT COMMITTEE,…,351,SIMLA,5,1946
741,ANNAUL ADMINSTARTION REPORT 1956-57,,312,"THE DIRECTORATE OF PUBLIC RELATIONS, DELHI",2,1957
742,THE PUNJAB COLONY MANUAL,L. FRENCH,205,LAHORE,5,1908
743,ANNAUL ADMINSTRATION REPORT 1956-57,…,312,"THE DIRECTORATE OF PUBLIC RELATIONS, DELHI",2,1957
744,"ALL INDIA SEMINAR ON AGRICULTURAL LABOR IN INDA, NEW DELHI",…,343,"MINISTRY OF LABOUR & EMPLOYMENT, GOVERNMENT OF INDIA",1,1965
745,THE DELHI EXCISE MANUAL,,300,"GOVERNMENT OF INDIA PRESS, DELHI",5,1928
746,SOVIET FOREIGN POLICY EARLY YEARS,M . TRUSH,286,NOVOSTI PRESS AGENCY PUBLISHING HOUSE,1,
747,INDO SOVIET TREATY REACTION & REFLECTION,DR. N. M. GHATATE,288,DEENDAYAL RESEARCH INSTITUTE NEW DELHI,4,1972
748,DOCUMENTS AND DECISION OF THE CONGRESS OF THE COMMUNIST OF SOVIET UNION,…,361,"PEOPLE'S PUBLISHING HOUSE, NEW DELHI AHMEDABAD, BOMBAY",2,1971
749,RESEARCH ON LIVING,N.P. CHOWDHRY,156,"P.S. JAYASINGHE, ASIA PUBLISHING HOUSE, BOMBAY",4,1972
750,INDIA BOUNDARY AND TERRITORIAL DISPUTES,SURYA P. SHARMA,182,"VIKAS PUBLICATION, DELHI",3,1969
751,DOCUMENTS OF 9TH CONGRESS OF THE COMMUNIST PARTY OF INDIA,,415,"COMMUNIST PARTY PUBLICATION, DELHI",2,1971
752,INDIAN ART AT DELHI 1903,SIR GEORGE WATT,546,THE SUPERINTENDENT OF GOVERNMENT PRINTING,1,1903
753,THE ECONOMIC HISTORY OF INDIA,ROMESH DUTT,436,"KEGAN PAUL, TRENCH, TRUBNER & CO. LONDON",3,1906
754,PEASANTS AND PRINCE,GLORNEY BOLTON,295,GEORGE ROUTLEDGE & SONS LTD. LONDON,3,1937
755,WHEN KINGS RODE TO DELHI,GABRIELLE FESTING,404,LONDON,4,1912
756,SINCE OUR FALL,ABDULLAH ANWAR BEG,127,"THE ALAMGIR ASSOCIATION, LAHORE",5,1937
757,FAMOUS SPEECHES OF SUBHAS CHANDRA BOSE,GANPAT RAI,256,"LION PRESS, LAHORE, LAHORE",5,1946
758,THE TEMPLES OF RAJASTHAN,H. BHISAHM PAL,136,"PRAKASH PUBLISHERS, ALWAR, JAIPUR",1,1969
759,CTALOGUE OF THE HISTORICAL MAPS OF SURVEY OF INDIA,DR. S.N. PRASAD,543,"THE NATIONAL ARCHIVES OF INDIA, NEW DELHI",4,1975
760,AN HISTORICAL SKETCH OF THE NATIVE STATES OF INDIA,COLONEL G.B.MELLESON,,"LONGMANS, GREEN & CO. CO. LONDON",2,1875
761,MOTILAL NEHRU,S.P. CHABLANI,,"S CHAND & SONS, DELHI JULLUNDUR, LUCKNOW",1,1961
762,THE LOST DOMINION,AL. CARTHILL,351,WILLIAM BLACKWOOD AND SONS EDINBURGH AND LONDON,1,1924
763,INDIAN HISTORICAL RECORDS COMMISSION PROCEEDINGS OF THE FORTY FIRST SESSION VOL. XLI,…,303,TRIVANDRUM,1,1971
764,FORT WILLIAM- INDIA HOUSE CORRESPONDENCE,AMALES TRIPATHI,569,"THE NATIONAL ARCHIVES OFINDIA, THE CONTROLLER OF PUBLICATIONS, GOVERNMENT OF INDIA, NEW DELHI",2,1978
765,PROCEEDINGS OF THE FORTY EIGHTH COMMISSION VOL.. XLV,…,330,MYSORE,3,1977
766,SOLDIER'S CONTRIBUTION TO INDIAN IDEPENDENT ARMY,MOHAN SINGH,426,"S. ATTAR SINGH, ARMY EDUCATIONAL STORES, NEW DELHI",1,1975
767,AN ALPHABETICAL LIST OF THE FEASTS AND HOLIDAY OF THE HINDUS & MUHAMMADENS,….,123,"SUPERINTENDENT GOVERNMENT PRINTING, CALCUTTA",2,1914
768,CATALOGUE OF THE DELHI MUSEUM ARCHAEOLOGY,…,65,"SUPERINTENDENT GOVERNMENT PRINTING, CALCUTTA",4,1913
769,UP FROM POVERTY IN RURAL INDIA,D. SPENCER HATCH,208,"OXFORD UNIVERSITY PRESS, BOMBAY CALCUTTA, MADRAS",4,1932
770,THE UNREPEALED GENERAL GENERAL ACTS,….,457,"THE MANAGER OF PUBLICATIONS, DELHI",4,1933
771,A PROSE ENGLISH TRANSLATION OF THE MAHABHARATTA,MANMATHA NATH DUTT(ED),594,"MANMATH NATH DUTT, CALCUTTA",4,1903
772,A COLLECTION OF STATUTES RELATING TO INDIA,….,610,"GOVERNMENT OF INDIA, CENTRAL PUBLICATION BRANCH",4,1926
773,WE GO THE LINGIAD,DHUNDIRAJ GANORKAR,264,"A HANUMAN VYAYAM PRASARAK PUBLICATION, AMRAQVATI",4,1951
774,A DIGEST OF INDIAN LAW CASE HIGH COURT REPORT,S.WEBB-JOHNSON,,"SUPERINTENDENT GOVERNMENT PRINTING, CALCUTTA",3,1922
775,GENERAL RULES & ORDERS MADE UNDER ------ IN FORCE IN BRITISH INDIA,…,692,"GOVERNMENT OF INDIA, CENTRAL PUBLICATION BRANCH, CALCUTTA",2,1928
776,INDIAN LAW REPORTS,C.H. OERTEL(ed.),616,"THE GOVERNMENT BOOK DEPOT, PUNJAB",5,1920
777,CRIMINAL RULINGS OF THE CHIEF COURT OF THE PUNJAB,A.B.BROADWAY,1059,LAHORE,4,1911
778,UNREPEALED CENTRAL ACTS,…,664,…,3,1951
779,SELECTION FROM THE PESHWA DAFTAR,B.G.KUNTE (GEN.ed),352,"THE DEPARTMENT OF ARCHIVES, GOVERNMENT OF MAHARASHTRA",4,1979
780,GLORIOUS LOVE AFFAIRS OF HISTORY,…,240,"NEW BOOK SOCIETY OF INDIA, NEW DELHI",4,1966
781,GANDHI DEKH RAHA HAI,VIYOGI HARI,184,"KUTIR PRAKASHAN, MODEL TOWN, DELHI",2,
782,THE CODEOF CRIMINAL PROCEDURE 1898,…,421,THE MANAGER OF PUBLICATIONS DELHI,4,1937
783,A COLLECTION OF THE ACTS,…,,"SUPERINTENDENT GOVERNMENT PRINTING, CALCUTTA",4,1914
784,THE PUNJAB RECORD OR REFERENCE BOOK FOR CIVIL OFFICE,…,,"THE CIVIL AND MILITARY GAZETTE PRESS, LAHORE",2,1900
785,REPORT ON INDIAN CONSTITUTIONAL REFORMS,…,243,"SUPERINTENDENT GOVERNMENT PRINTING, CALCUTTA",1,1918
786,CHOTA NAGPUR SURVEY,"FIVERN, S. J",524,"INDIAN SOCIAL INSTITUTE, NEW DELHI",5,1969
787,SRI GEORGE PRASSHASTI,PT. PARMANAND SASTRI KAVI RAJ,107,DELHI,4,
788,WILL WAR COME TO INDIA?,N.G.JOG,299,"NEW BOOK COMPANY, BOMBAY",1,1941
789,PUNJAB DISTRICT GAZETTEERS,AUTHORITY OF THE PUNJBA GOVERNMENT,230,"AUTHORITY OF THE PUNJAB GOVERNMENT, LAHORE",1,1913
